budget,split,bootstrap_replicate,cost_model,Q0,L_ctx,cap,oracle_loss,oracle_N_B,oracle_D_B,oracle_Q_B,oracle_budget_ratio
1e+19,heldout,8,exponential,0.8,32768,3x,3.23910883544,0.184625342057,4.31459862376,0.8,1
1e+19,heldout,8,exponential,0.8,32768,5x,3.23910883544,0.184625346214,4.31459852661,0.8,1
1e+19,heldout,8,exponential,0.8,32768,free,3.23910883544,0.184625363427,4.31459812435,0.8,1
1e+19,heldout,8,power,0.2,2048,1x,3.2422291757,0.400409845599,2.84758207316,0.660789469378,1
1e+19,heldout,8,power,0.2,2048,2x,3.2422291757,0.400409845599,2.84758207316,0.660789469378,1
1e+19,heldout,8,power,0.2,2048,3x,3.2422291757,0.400409941174,2.84758167301,0.660789448736,1
1e+19,heldout,8,power,0.2,2048,5x,3.2422291757,0.400409845599,2.84758207316,0.660789469378,1
1e+19,heldout,8,power,0.2,2048,free,3.2422291757,0.400409845599,2.84758207316,0.660789469378,1
1e+19,heldout,8,power,0.2,32768,1x,3.37453872147,0.287396456124,1.97630214386,0.735110742449,1
1e+19,heldout,8,power,0.2,32768,2x,3.37453872147,0.287396399711,1.97630245136,0.735110732491,1
1e+19,heldout,8,power,0.2,32768,3x,3.37453872147,0.287396454484,1.97630206543,0.735110770316,1
1e+19,heldout,8,power,0.2,32768,5x,3.37453872147,0.287396399711,1.97630245136,0.735110732491,1
1e+19,heldout,8,power,0.2,32768,free,3.37453872147,0.287396399711,1.97630245136,0.735110732491,1
1e+19,heldout,8,power,0.8,2048,1x,3.09172646232,0.251653309512,6.19963935059,0.8,1
1e+19,heldout,8,power,0.8,2048,2x,3.09172646232,0.251653291429,6.19963979608,0.8,1
1e+19,heldout,8,power,0.8,2048,3x,3.09172646232,0.251653307264,6.19963940598,0.8,1
1e+19,heldout,8,power,0.8,2048,5x,3.09172646232,0.251653305181,6.19963945729,0.8,1
1e+19,heldout,8,power,0.8,2048,free,3.09172646232,0.251653300287,6.19963957787,0.8,1
1e+19,heldout,8,power,0.8,32768,1x,3.23910883544,0.184625341545,4.31459863573,0.8,1
1e+19,heldout,8,power,0.8,32768,2x,3.23910883544,0.184625344911,4.31459855707,0.8,1
1e+19,heldout,8,power,0.8,32768,3x,3.23910883544,0.184625342057,4.31459862376,0.8,1
1e+19,heldout,8,power,0.8,32768,5x,3.23910883544,0.184625346214,4.31459852661,0.8,1
1e+19,heldout,8,power,0.8,32768,free,3.23910883544,0.184625363427,4.31459812435,0.8,1
1e+19,heldout,8,logarithmic,0.2,2048,1x,3.20245182919,0.460769647411,1.80118028092,1,1
1e+19,heldout,8,logarithmic,0.2,2048,2x,3.20245182919,0.460769690674,1.80118019096,1,1
1e+19,heldout,8,logarithmic,0.2,2048,3x,3.20245182919,0.460769660235,1.80118025425,1,1
1e+19,heldout,8,logarithmic,0.2,2048,5x,3.20245182919,0.46076967766,1.80118021802,1,1
1e+19,heldout,8,logarithmic,0.2,2048,free,3.20245182919,0.460769660566,1.80118025356,1,1
1e+19,heldout,8,logarithmic,0.2,32768,1x,3.31580654674,0.300383086533,1.56999301653,1,1
1e+19,heldout,8,logarithmic,0.2,32768,2x,3.31580654674,0.300383084389,1.56999302317,1,1
1e+19,heldout,8,logarithmic,0.2,32768,3x,3.31580654674,0.300383079389,1.56999303864,1,1
1e+19,heldout,8,logarithmic,0.2,32768,5x,3.31580654674,0.300383083954,1.56999302451,1,1
1e+19,heldout,8,logarithmic,0.2,32768,free,3.31580654674,0.300383082434,1.56999302922,1,1
1e+19,heldout,8,logarithmic,0.8,2048,1x,3.04695211402,0.279818191939,4.5560907933,1,1
1e+19,heldout,8,logarithmic,0.8,2048,2x,3.04695211402,0.27981820302,4.55609064587,1,1
1e+19,heldout,8,logarithmic,0.8,2048,3x,3.04695211402,0.279818200642,4.55609067751,1,1
1e+19,heldout,8,logarithmic,0.8,2048,5x,3.04695211402,0.279818207825,4.55609058194,1,1
1e+19,heldout,8,logarithmic,0.8,2048,free,3.04695211402,0.279818210907,4.55609054093,1,1
1e+19,heldout,8,logarithmic,0.8,32768,1x,3.17972173581,0.194897820219,3.51122280421,1,1
1e+19,heldout,8,logarithmic,0.8,32768,2x,3.17972173581,0.194897828057,3.51122268291,1,1
1e+19,heldout,8,logarithmic,0.8,32768,3x,3.17972173581,0.194897831997,3.51122262193,1,1
1e+19,heldout,8,logarithmic,0.8,32768,5x,3.17972173581,0.194897824812,3.51122273313,1,1
1e+19,heldout,8,logarithmic,0.8,32768,free,3.17972173581,0.194897809236,3.51122297419,1,1
1e+19,heldout,12,exponential,0.2,2048,1x,3.19481537155,0.371238179077,3.08448167305,0.749179141617,1
1e+19,heldout,12,exponential,0.2,2048,2x,3.19481537155,0.371238118455,3.08448209092,0.749179132192,1
1e+19,heldout,12,exponential,0.2,2048,3x,3.19481537155,0.371238115593,3.0844826484,0.749179026582,1
1e+19,heldout,12,exponential,0.2,2048,5x,3.19481537155,0.371238116733,3.08448215475,0.749179121764,1
1e+19,heldout,12,exponential,0.2,2048,free,3.19481537155,0.371238093525,3.08448220445,0.749179139721,1
1e+19,heldout,12,exponential,0.2,32768,1x,3.32597255314,0.261857672587,2.25085806118,0.796337687129,1
1e+19,heldout,12,exponential,0.2,32768,2x,3.32597255314,0.26185756,2.25085945973,0.796337498255,1
