outer_fold,model,spec,inner_rmse,selected
4,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.5968432539577478,False
4,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6094001742476378,False
4,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.39988372430391766,False
4,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.39473557938743964,True
4,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.44697874521445347,False
5,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2760471465098579,False
5,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2753290908431705,False
5,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2914112498669105,False
5,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.28209888574474956,False
5,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.2730189204358232,True
5,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.2823463208786901,False
5,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.28626701892960643,False
5,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.2856838592214679,False
5,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 4}",0.3001675110963597,False
5,additive_clr_spline,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.2933474174034007,False
5,additive_clr_spline,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.283972130839991,False
5,additive_clr_spline,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""additive_clr_spline"", ""n_knots"": 6}",0.2908355219875179,False
5,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7149039438938128,False
5,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7144463492074619,False
5,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7203739528002797,False
5,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6090997238405003,False
5,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6060321764216398,False
5,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6162295110889006,False
5,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.40455897145649616,False
5,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.39756691688310913,True
5,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.25, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.4488190078561816,False
5,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7141230974254489,False
5,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7136006189888023,False
5,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 4}",0.7193940779199571,False
5,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6047459712426083,False
5,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6018627677408196,False
5,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 8}",0.6136693986585432,False
5,lowrank_ilr_quadratic,"{""alpha"": 1.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.40433533463223903,False
5,lowrank_ilr_quadratic,"{""alpha"": 10.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.3989332476005645,False
5,lowrank_ilr_quadratic,"{""alpha"": 100.0, ""eps_mult"": 0.5, ""family"": ""lowrank_ilr_quadratic"", ""n_components"": 12}",0.4531797631283348,False
